287,103.0,176.5,3
288,44.0,117.5,61
289,103.0,117.5,61
290,44.0,176.5,61
291,103.0,176.5,61
292,44.0,117.5,119
293,103.0,117.5,119
294,44.0,176.5,119
295,103.0,176.5,119
296,44.0,117.5,177
297,103.0,117.5,177
298,44.0,176.5,177
299,103.0,176.5,177
300,44.0,117.5,235
301,103.0,117.5,235
302,44.0,176.5,235
303,103.0,176.5,235
304,44.0,117.5,293
305,103.0,117.5,293
306,44.0,176.5,293
307,103.0,176.5,293
308,44.0,117.5,351
309,103.0,117.5,351
310,44.0,176.5,351
311,103.0,176.5,351
312,-103.0,117.5,-345
313,-44.0,117.5,-345
314,-103.0,176.5,-345
315,-44.0,176.5,-345
316,-103.0,117.5,-287
317,-44.0,117.5,-287
318,-103.0,176.5,-287
319,-44.0,176.5,-287
320,-103.0,117.5,-229
321,-44.0,117.5,-229
322,-103.0,176.5,-229
323,-44.0,176.5,-229
324,-103.0,117.5,-171
325,-44.0,117.5,-171
326,-103.0,176.5,-171
327,-44.0,176.5,-171
328,-103.0,117.5,-113
329,-44.0,117.5,-113
330,-103.0,176.5,-113
331,-44.0,176.5,-113
332,-103.0,117.5,-55
333,-44.0,117.5,-55
334,-103.0,176.5,-55
335,-44.0,176.5,-55
336,-103.0,117.5,3
337,-44.0,117.5,3
338,-103.0,176.5,3
339,-44.0,176.5,3
340,-103.0,117.5,61
341,-44.0,117.5,61
342,-103.0,176.5,61
343,-44.0,176.5,61
344,-103.0,117.5,119
345,-44.0,117.5,119
346,-103.0,176.5,119
347,-44.0,176.5,119
348,-103.0,117.5,177
349,-44.0,117.5,177
350,-103.0,176.5,177
351,-44.0,176.5,177
352,-103.0,117.5,235
353,-44.0,117.5,235
354,-103.0,176.5,235
355,-44.0,176.5,235
356,-103.0,117.5,293
357,-44.0,117.5,293
358,-103.0,176.5,293
359,-44.0,176.5,293
360,-103.0,117.5,351
361,-44.0,117.5,351
362,-103.0,176.5,351
363,-44.0,176.5,351
364,191.0,117.5,-345
365,250.0,117.5,-345
366,191.0,176.5,-345
367,250.0,176.5,-345
368,191.0,117.5,-287
369,250.0,117.5,-287
370,191.0,176.5,-287
371,250.0,176.5,-287
372,191.0,117.5,-229
373,250.0,117.5,-229
374,191.0,176.5,-229
375,250.0,176.5,-229
376,191.0,117.5,-171
377,250.0,117.5,-171
378,191.0,176.5,-171
379,250.0,176.5,-171
380,191.0,117.5,-113
381,250.0,117.5,-113
382,191.0,176.5,-113
383,250.0,176.5,-113
384,191.0,117.5,-55
385,250.0,117.5,-55
386,191.0,176.5,-55
387,250.0,176.5,-55
388,191.0,117.5,3
389,250.0,117.5,3
390,191.0,176.5,3
391,250.0,176.5,3
392,191.0,117.5,61
393,250.0,117.5,61
394,191.0,176.5,61
395,250.0,176.5,61
396,191.0,117.5,119
397,250.0,117.5,119
398,191.0,176.5,119
399,250.0,176.5,119
400,191.0,117.5,177
401,250.0,117.5,177
402,191.0,176.5,177
403,250.0,176.5,177
404,191.0,117.5,235
405,250.0,117.5,235
406,191.0,176.5,235
407,250.0,176.5,235
408,191.0,117.5,293
409,250.0,117.5,293
410,191.0,176.5,293
411,250.0,176.5,293
412,191.0,117.5,351
413,250.0,117.5,351
414,191.0,176.5,351
415,250.0,176.5,351
416,-250.0,117.5,-345
417,-191.0,117.5,-345
418,-250.0,176.5,-345
419,-191.0,176.5,-345
420,-250.0,117.5,-287
421,-191.0,117.5,-287
422,-250.0,176.5,-287
423,-191.0,176.5,-287
424,-250.0,117.5,-229
425,-191.0,117.5,-229
426,-250.0,176.5,-229
427,-191.0,176.5,-229
428,-250.0,117.5,-171
429,-191.0,117.5,-171
430,-250.0,176.5,-171
431,-191.0,176.5,-171
432,-250.0,117.5,-113
433,-191.0,117.5,-113
434,-250.0,176.5,-113
435,-191.0,176.5,-113
436,-250.0,117.5,-55
437,-191.0,117.5,-55
438,-250.0,176.5,-55
439,-191.0,176.5,-55
440,-250.0,117.5,3
441,-191.0,117.5,3
442,-250.0,176.5,3
443,-191.0,176.5,3
444,-250.0,117.5,61
445,-191.0,117.5,61
446,-250.0,176.5,61
447,-191.0,176.5,61
448,-250.0,117.5,119
449,-191.0,117.5,119
450,-250.0,176.5,119
451,-191.0,176.5,119
452,-250.0,117.5,177
453,-191.0,117.5,177
454,-250.0,176.5,177
455,-191.0,176.5,177
456,-250.0,117.5,235
457,-191.0,117.5,235
458,-250.0,176.5,235
459,-191.0,176.5,235
460,-250.0,117.5,293
461,-191.0,117.5,293
462,-250.0,176.5,293
463,-191.0,176.5,293
464,-250.0,117.5,351
465,-191.0,117.5,351
466,-250.0,176.5,351
467,-191.0,176.5,351
